date,applicant ,arrival,asylum ,benefit,border ,control ,business ,citizenship ,compensation ,consulate ,contract ,customs ,deportation ,diaspora ,discriminate ,earning ,economy ,embassy ,emigrant ,emigrate ,emigration ,employer ,employment ,foreigner,GDP,hiring ,illegal ,immigrant ,immigrate ,immigration ,income ,inflation ,internship ,job,labor,layoff,legalization ,migrant,migrate,migration ,minimum ,nationality ,naturalization ,passport,payroll,pension,quota,recession ,recruitment,refugee ,remuneration ,required documents ,salary,Schengen,smuggler ,smuggling,tax,tourist ,unauthorized ,undocumented ,unemployment ,union,unskilled,vacancy,visa,waiver,wage,welfare
2016-11-27,15,57,23,84,20,87,65,23,80,48,46,75,12,56,47,47,61,40,8,25,9,54,69,2,47,45,67,22,26,24,63,78,73,34,12,19,6,10,54,16,55,38,54,62,27,49,64,7,80,16,32,33,85,17,59,33,34,56,42,26,5,61,16,52,62,68,45,85
2016-12-04,13,49,24,78,25,80,66,26,79,38,61,74,17,39,68,31,61,35,12,16,79,48,62,4,69,41,56,11,23,21,58,68,57,32,14,18,6,11,42,15,50,35,55,60,26,59,62,8,59,13,8,6,79,8,38,32,35,55,40,22,5,59,16,55,65,55,41,73
2016-12-11,16,38,26,71,23,86,59,20,71,34,53,89,12,49,48,43,61,35,11,8,64,42,68,4,44,35,48,11,12,21,53,84,52,32,14,13,4,10,35,13,49,47,70,66,28,63,42,8,37,14,24,53,83,0,20,28,33,51,30,13,5,63,33,70,65,41,40,64
2016-12-18,17,35,21,58,23,77,51,22,63,36,39,81,12,31,0,11,36,41,9,18,30,46,56,2,28,36,47,7,3,11,45,47,58,28,10,3,3,5,31,10,38,38,42,63,24,61,11,4,46,11,0,29,71,10,44,26,30,56,32,19,4,61,18,53,57,38,33,54
2016-12-25,14,34,29,55,23,70,47,18,47,38,37,67,10,18,27,27,29,44,7,0,20,31,49,4,28,39,45,5,13,11,42,36,47,26,9,6,4,3,26,8,56,41,36,71,26,54,25,3,51,9,9,15,65,16,11,26,29,52,33,7,4,59,0,49,61,31,47,71
2017-01-01,37,34,29,64,23,77,61,26,73,42,55,81,18,34,17,26,39,45,20,0,10,50,72,2,32,48,49,10,9,14,62,44,79,34,12,17,7,5,39,8,98,48,44,85,34,59,38,4,54,5,8,21,82,18,32,15,42,63,45,5,6,59,0,70,67,37,86,85
2017-01-08,21,23,18,65,29,79,73,29,90,48,45,76,16,32,47,26,49,45,10,17,18,56,87,7,40,53,49,14,0,18,63,57,100,40,12,20,3,5,40,15,69,40,29,80,37,67,35,5,46,11,32,53,93,26,40,14,45,67,63,15,6,60,16,87,66,41,58,76
2017-01-15,7,26,28,72,26,84,64,32,81,33,53,61,8,44,55,34,58,42,6,8,27,67,88,5,51,48,53,15,6,21,73,54,71,37,13,25,7,6,40,10,58,43,63,79,31,67,54,6,54,13,8,26,86,26,79,14,52,61,46,16,5,55,16,52,63,48,54,87
2017-01-22,18,30,25,68,36,81,70,34,75,55,55,73,39,51,8,38,68,50,6,8,44,61,86,3,62,79,78,27,20,47,83,72,95,36,13,31,2,6,48,13,60,44,46,80,37,51,53,7,65,28,39,19,88,3,19,14,70,62,57,24,5,55,32,68,73,44,43,90
2017-01-29,28,34,37,74,36,82,71,56,90,37,57,95,54,74,68,53,63,48,12,73,62,71,75,2,40,64,75,44,43,100,93,58,80,36,14,16,5,8,40,15,58,57,95,88,33,75,50,5,63,100,23,19,83,14,48,23,80,63,53,27,6,61,63,55,100,59,44,96
2017-02-05,21,25,25,75,31,74,66,37,84,49,50,96,75,53,52,42,63,42,12,40,60,68,78,4,47,48,73,29,36,61,88,53,91,36,13,12,1,11,31,13,53,45,60,75,31,63,61,5,46,28,30,44,87,14,38,18,69,51,32,33,4,54,46,58,75,33,38,100
2017-02-12,31,37,24,76,27,80,69,36,81,45,48,71,100,27,23,51,64,43,14,16,44,50,74,5,63,42,78,65,28,63,83,72,87,37,14,12,3,8,43,12,44,45,49,82,26,65,28,4,55,17,15,32,80,14,10,27,70,59,44,39,5,58,16,100,60,41,34,76
2017-02-19,20,39,24,69,27,79,70,42,86,34,56,81,81,55,46,54,68,46,16,73,53,54,69,6,55,49,71,34,29,57,79,77,77,37,14,20,4,8,46,14,50,42,62,92,29,74,63,7,39,19,23,13,82,28,10,14,70,75,49,41,5,59,16,55,61,38,38,80
2017-02-26,29,32,28,79,26,82,75,36,76,45,54,96,64,45,22,41,67,41,21,47,59,57,79,3,69,51,58,28,25,44,81,73,95,36,14,16,3,6,57,13,53,40,53,99,29,63,51,6,54,18,37,31,81,24,19,9,62,56,23,41,4,62,30,57,73,41,40,83
2017-03-05,35,21,25,80,26,84,73,34,79,45,63,77,35,50,38,39,64,45,16,32,96,58,85,7,62,49,56,34,17,36,80,77,87,38,15,19,3,9,45,13,53,46,40,100,27,70,43,6,45,20,8,44,93,19,29,18,61,79,28,17,5,61,62,71,74,37,42,78
2017-03-12,37,18,27,78,25,80,71,26,83,46,54,78,27,34,60,29,63,43,6,48,43,54,70,2,58,49,50,21,20,27,80,73,88,36,13,20,2,6,50,13,51,41,45,94,25,56,43,5,55,14,15,31,81,14,66,9,67,62,40,33,4,60,15,54,60,29,40,84
2017-03-19,37,15,26,76,25,74,71,28,71,37,53,65,22,51,53,28,55,41,6,0,18,55,78,3,53,47,63,17,6,25,85,82,61,35,13,16,4,8,54,15,48,50,52,90,28,59,25,5,56,12,8,6,89,25,29,41,59,71,33,17,4,54,16,42,68,45,37,66
2017-03-26,55,13,26,88,27,79,73,30,76,37,55,74,29,36,40,43,53,49,11,17,18,55,70,3,48,48,55,13,0,24,78,63,75,38,13,14,2,5,42,9,50,44,58,92,30,81,36,4,46,9,16,47,92,3,20,38,68,59,68,14,4,61,49,88,62,39,40,62
2017-04-02,25,12,23,69,25,79,70,25,78,59,60,68,28,8,23,32,52,52,10,33,53,61,79,3,38,41,59,15,14,21,85,53,82,34,13,12,2,7,27,13,50,38,59,91,26,77,44,5,60,14,16,13,86,31,68,18,73,64,45,26,5,61,16,89,64,44,39,81
2017-04-09,21,9,22,68,25,85,72,25,84,44,59,81,16,48,39,42,50,48,17,17,36,49,76,6,48,45,44,20,3,21,92,63,71,35,11,9,5,6,33,10,53,44,45,88,28,64,42,5,56,13,32,13,87,11,30,28,90,80,42,17,5,58,16,39,68,33,44,63
2017-04-16,29,12,30,85,26,82,72,29,92,45,59,67,14,44,31,47,61,41,2,17,100,52,86,3,54,45,49,11,12,24,84,85,70,36,13,10,4,5,44,13,47,51,54,87,28,64,55,7,61,14,32,46,93,20,60,14,85,60,63,17,4,59,16,52,64,42,37,68
2017-04-23,19,11,25,73,25,76,72,30,85,42,59,84,25,47,23,51,66,39,12,8,45,56,79,2,70,48,57,14,15,24,71,73,81,37,15,29,2,11,29,12,54,31,47,86,31,69,51,7,57,12,16,52,91,20,59,41,49,84,54,16,4,59,32,51,63,44,44,74
2017-04-30,34,9,36,74,27,83,71,25,99,46,50,73,18,28,100,72,59,39,4,0,80,60,72,6,54,52,61,21,20,22,62,81,72,36,16,9,3,7,31,15,54,43,31,84,27,72,53,8,53,17,15,26,92,34,19,37,39,77,49,22,5,63,32,60,64,41,46,78
2017-05-07,29,10,27,72,23,82,69,25,84,48,54,79,24,48,47,45,71,46,10,25,72,51,75,5,65,48,52,16,9,22,61,81,68,37,15,12,4,9,36,16,53,49,60,81,28,67,38,11,61,12,47,26,94,26,30,23,35,67,50,24,4,56,16,52,66,33,39,69
2017-05-14,25,8,33,68,22,73,69,24,88,47,54,75,11,25,33,41,66,46,13,17,66,43,73,4,51,53,58,16,15,20,51,65,52,38,14,21,2,6,55,12,49,41,30,84,31,65,50,7,38,11,33,34,86,12,31,15,31,75,44,18,4,61,17,50,59,35,45,67
2017-05-21,5,10,21,70,27,83,63,20,75,40,51,80,22,34,33,34,54,42,15,18,29,58,76,3,54,49,57,12,16,18,57,58,55,37,15,11,2,6,50,11,54,49,64,88,27,57,51,7,59,9,17,28,88,9,11,54,31,76,31,15,5,60,0,37,53,38,39,59
2017-05-28,13,12,25,72,25,80,62,21,77,39,57,67,21,31,26,32,53,47,20,27,40,43,74,2,51,49,57,13,19,19,56,64,54,34,13,10,2,6,30,11,55,51,28,93,28,45,52,4,53,11,43,72,82,16,65,36,31,97,50,13,4,63,0,33,59,32,36,70
2017-06-04,27,8,18,74,22,80,65,24,97,46,59,75,11,42,41,27,45,47,2,26,0,43,82,2,41,52,47,13,25,17,58,42,63,37,13,14,2,4,20,10,54,35,46,90,30,68,37,5,64,11,8,7,92,36,21,29,31,65,61,18,5,61,17,63,67,41,47,67
2017-06-11,24,8,25,47,23,79,63,19,79,43,62,69,14,30,17,30,41,48,11,18,10,45,73,3,41,49,47,11,3,16,53,59,45,36,13,16,0,5,30,10,53,56,52,85,28,48,24,6,53,9,9,36,86,25,32,10,30,69,59,18,4,55,18,52,62,43,46,64
2017-06-18,20,9,22,54,22,84,65,27,84,45,73,79,15,17,16,27,38,53,28,0,38,58,82,5,33,52,53,11,12,18,57,40,46,35,14,10,2,4,34,10,63,46,46,85,26,66,30,5,56,15,8,27,96,48,10,14,30,78,13,6,4,58,0,72,68,39,45,72
2017-06-25,13,10,29,59,25,87,66,24,91,48,66,68,14,31,26,25,46,51,18,0,0,52,77,15,35,61,58,15,16,17,59,48,46,35,13,22,1,2,33,8,78,49,38,87,30,57,21,4,60,8,9,51,92,35,33,21,32,76,32,13,5,60,36,57,63,32,67,55
2017-07-02,8,10,22,49,26,77,56,22,68,41,72,69,8,32,18,35,42,56,12,19,21,47,64,6,38,50,71,14,0,16,55,60,40,32,14,18,1,4,26,7,79,56,66,79,25,57,33,7,46,7,9,15,86,30,34,27,30,76,29,11,5,62,19,90,62,33,76,74
2017-07-09,9,8,21,65,24,80,65,28,71,43,64,83,7,22,34,23,36,52,13,27,0,43,71,5,27,57,56,10,13,12,55,54,49,37,16,17,3,4,24,7,71,43,61,86,28,51,59,4,56,12,42,42,93,15,21,10,31,70,63,12,4,61,0,70,66,44,54,62
2017-07-16,7,10,27,61,24,85,70,29,71,37,66,81,13,17,8,52,37,53,22,0,29,50,84,5,36,57,55,14,10,14,58,49,51,36,17,22,2,6,30,8,64,36,31,84,31,84,31,4,53,6,43,21,86,25,21,30,30,80,41,14,4,59,0,61,63,48,53,67
2017-07-23,28,9,27,49,28,82,67,17,69,46,60,75,13,22,34,80,39,46,9,27,20,43,74,6,30,58,52,13,13,16,58,49,49,38,18,15,2,7,30,11,57,33,58,79,27,71,41,3,38,4,34,28,94,19,11,75,32,72,58,9,4,62,0,28,58,45,53,71
2017-07-30,13,10,25,73,27,82,68,21,68,39,58,64,14,17,33,58,41,54,35,18,19,55,81,6,30,59,55,15,22,27,67,42,39,37,19,20,2,6,27,12,56,38,50,84,29,56,27,4,42,6,50,69,90,24,21,29,32,57,44,16,5,66,0,64,68,54,45,73
2017-08-06,20,9,22,65,24,76,67,25,88,46,59,74,15,38,49,51,44,50,24,26,9,45,73,6,35,61,46,8,37,18,59,43,51,37,21,12,2,9,34,7,52,37,46,82,30,58,23,2,60,8,33,21,90,39,31,24,32,80,52,11,5,62,0,32,65,61,44,71
2017-08-13,16,9,27,59,27,77,66,26,64,38,48,72,18,42,16,27,47,40,15,26,38,49,78,8,19,59,49,11,25,18,54,50,46,38,25,24,1,3,27,14,52,41,53,71,27,49,23,4,58,8,25,14,88,12,31,19,30,67,26,9,4,62,0,50,62,52,42,62
2017-08-20,12,9,22,59,21,81,67,30,75,49,55,68,17,25,40,40,55,35,4,9,19,44,68,7,36,54,46,8,6,15,54,56,55,38,37,22,4,4,43,11,48,39,52,78,22,51,26,6,52,3,16,34,89,15,10,24,30,70,30,10,4,59,0,45,59,45,38,54
2017-08-27,24,8,24,67,24,76,67,26,73,74,61,59,10,48,31,34,60,50,25,0,45,42,70,15,43,47,47,11,12,18,54,53,48,36,58,20,2,6,48,11,49,41,28,63,35,51,32,5,82,10,16,26,86,6,69,23,29,55,67,18,4,62,16,52,58,53,39,65
2017-09-03,15,9,25,68,25,78,67,38,68,44,54,72,23,40,46,24,54,44,16,16,54,46,67,7,38,49,54,15,17,22,55,34,54,33,79,22,2,5,51,13,46,40,56,67,31,72,28,3,83,9,16,33,86,23,39,18,28,65,41,29,4,59,16,47,64,52,35,62
2017-09-10,12,8,25,75,19,80,72,26,69,39,64,81,10,35,61,33,58,45,18,16,88,52,78,4,33,50,48,12,17,18,60,64,46,38,13,11,1,4,49,16,50,40,59,61,35,60,44,3,87,9,23,13,85,11,39,18,32,64,33,20,4,60,48,38,64,100,35,61
2017-09-17,21,7,22,65,29,85,71,22,88,35,68,77,16,21,65,34,55,41,9,52,19,38,76,4,45,50,47,15,9,19,59,49,50,36,13,9,3,8,54,15,48,51,40,63,33,56,47,4,65,9,0,27,85,27,21,19,30,67,48,17,3,57,34,23,62,74,38,65
2017-09-24,27,10,28,72,27,85,74,29,79,40,67,100,15,51,25,19,58,38,4,27,48,53,76,9,63,54,54,16,25,20,64,64,80,36,13,15,2,6,48,14,56,40,60,71,32,60,31,5,48,9,75,49,83,30,31,0,41,63,58,16,4,60,0,64,63,59,44,70
2017-10-01,26,7,32,72,21,96,73,24,77,39,63,71,14,46,53,34,58,36,14,32,78,46,71,11,47,50,52,13,20,17,70,52,55,37,11,18,2,8,54,17,51,45,43,62,28,65,52,5,72,16,15,19,88,14,38,22,36,64,36,20,4,59,63,79,59,76,35,65
2017-10-08,18,8,39,67,21,85,79,22,86,36,60,71,18,49,29,35,54,39,10,8,94,44,81,68,60,54,51,12,17,16,71,77,69,34,12,13,1,7,33,16,46,42,57,63,35,55,36,6,72,15,30,50,88,27,65,13,40,54,31,14,4,60,15,86,67,79,34,59
