date,consulate,doctor,economy,embassy,emigrant,emigrate,emigration,employer,job,medical school,medicine,migrant,migrate,migration,naturalization,nurse,nursing school,passport,unemployment,visa
9/1/11,32,26,33,60,0,0,14,57,76,56,59,19,67,44,27,59,27,28,49,57
10/1/11,31,25,29,52,23,0,28,40,74,52,55,24,58,37,36,57,11,23,35,63
11/1/11,25,29,34,57,0,0,42,41,69,78,55,31,35,40,0,51,27,30,38,59
12/1/11,35,21,22,41,69,0,14,39,55,43,51,0,27,25,9,45,19,24,29,47
1/1/12,49,27,30,62,20,0,37,38,79,57,59,22,45,32,8,55,13,37,29,64
2/1/12,26,22,37,56,0,70,13,59,81,40,60,28,68,53,25,71,31,30,48,65
3/1/12,73,23,33,58,20,32,24,49,87,40,55,16,67,50,8,60,20,36,36,58
4/1/12,61,23,18,59,44,0,0,30,85,44,49,18,34,36,26,51,20,34,13,60
5/1/12,56,30,18,56,0,33,12,72,84,43,46,16,31,23,32,59,18,35,23,62
6/1/12,27,29,43,52,39,0,35,49,82,57,57,52,46,51,8,61,16,29,27,55
7/1/12,39,28,53,46,0,0,33,48,81,37,67,29,40,59,7,55,25,25,54,52
8/1/12,31,29,33,47,18,30,22,62,75,42,55,25,41,34,29,61,38,28,35,62
9/1/12,62,33,33,43,0,0,67,59,80,40,61,25,59,49,22,53,15,29,48,59
10/1/12,32,30,30,47,0,0,31,49,72,53,48,28,64,41,14,52,11,27,38,57
11/1/12,41,29,41,43,18,0,22,50,70,36,55,0,49,22,21,49,7,27,35,58
12/1/12,27,24,29,31,18,29,0,34,51,36,54,19,24,16,21,47,6,22,30,44
1/1/13,44,30,39,50,16,0,0,53,87,34,56,21,57,44,12,62,21,35,30,62
2/1/13,43,26,33,48,0,0,0,68,84,56,58,9,31,53,46,54,33,30,41,68
3/1/13,35,29,29,42,0,51,9,42,86,56,51,25,31,39,30,63,24,29,27,62
4/1/13,42,32,20,46,16,26,10,68,94,39,51,43,54,36,6,49,18,33,15,63
5/1/13,40,32,12,49,0,0,9,54,91,41,50,33,62,34,12,49,14,30,12,66
6/1/13,32,30,49,38,0,48,18,59,92,42,60,36,88,48,46,55,18,23,24,65
7/1/13,38,32,41,43,14,0,25,60,88,35,64,29,82,51,38,70,24,25,49,66
8/1/13,38,35,31,37,41,22,25,56,74,40,58,26,49,58,32,55,8,25,30,63
9/1/13,32,38,33,42,14,23,42,66,82,52,60,30,54,45,16,52,16,28,50,59
10/1/13,44,41,28,39,0,0,33,55,75,39,56,18,54,74,22,51,12,26,32,58
11/1/13,29,40,33,37,0,0,18,62,68,47,57,16,54,77,17,58,2,25,23,64
12/1/13,29,35,26,33,0,0,26,38,53,37,54,16,59,49,23,47,7,24,25,57
1/1/14,40,35,32,43,40,22,16,63,88,55,59,18,51,76,10,70,15,36,33,79
2/1/14,55,32,38,49,0,0,9,66,86,48,57,27,44,47,62,61,15,33,42,73
3/1/14,42,32,32,46,12,0,30,77,90,50,57,27,49,40,34,59,12,25,44,70
4/1/14,55,36,14,46,0,23,0,55,92,56,55,30,45,29,22,47,8,28,9,100
5/1/14,47,42,18,42,0,0,24,70,95,38,61,11,55,32,63,59,12,28,19,76
6/1/14,41,40,42,40,0,22,57,54,92,50,61,25,50,44,16,70,21,28,18,72
7/1/14,31,39,36,37,0,21,31,57,83,43,61,20,41,69,30,56,14,22,31,62
8/1/14,33,38,28,34,0,20,15,68,81,42,55,32,58,50,38,55,8,23,40,68
9/1/14,41,39,28,39,0,20,22,63,79,44,62,39,62,42,38,51,14,28,45,70
10/1/14,34,41,24,36,24,19,29,61,72,44,54,25,42,46,23,47,9,27,30,63
11/1/14,46,37,30,30,0,0,22,59,72,28,58,23,66,48,10,55,14,26,37,65
12/1/14,26,32,24,29,12,0,0,37,48,28,53,23,31,47,14,39,5,19,23,50
1/1/15,44,33,31,33,22,36,20,49,79,49,60,27,58,36,13,54,19,33,27,64
2/1/15,44,33,36,38,0,20,29,64,85,27,62,29,35,26,42,56,7,33,40,71
3/1/15,40,31,27,39,11,71,33,65,86,35,65,32,50,56,30,47,9,34,32,68
4/1/15,35,38,17,37,34,0,0,53,85,52,60,15,52,30,13,47,10,30,18,71
5/1/15,37,34,16,36,22,18,13,56,85,43,58,32,54,34,4,55,13,29,11,68
6/1/15,22,38,39,32,21,0,44,66,85,51,65,28,40,45,29,50,10,29,25,66
7/1/15,22,37,47,32,19,31,29,70,76,32,66,20,34,33,15,48,12,29,23,62
8/1/15,17,41,35,31,20,16,6,60,75,33,69,40,52,47,35,43,11,29,32,62
9/1/15,21,41,30,36,20,33,18,61,73,44,71,80,42,55,35,46,12,26,47,68
10/1/15,33,43,27,32,39,48,18,58,69,39,65,29,63,40,11,43,10,28,22,69
11/1/15,34,38,31,30,50,98,30,57,64,36,63,35,53,37,24,45,10,26,25,63
12/1/15,29,37,20,25,31,0,13,29,50,29,54,22,46,36,20,34,6,22,18,56
1/1/16,30,40,32,32,30,16,12,66,81,39,65,53,49,45,16,54,10,36,35,71
2/1/16,34,40,31,33,20,33,50,71,82,33,63,35,61,47,36,55,8,30,38,74
3/1/16,28,43,29,32,10,0,12,58,78,36,63,16,51,40,19,45,6,28,41,77
4/1/16,33,44,18,32,20,0,25,73,80,45,60,38,45,33,28,46,11,31,20,74
5/1/16,32,41,21,29,20,0,6,65,76,66,54,29,56,27,12,50,13,32,16,68
6/1/16,54,47,37,30,49,32,36,71,76,44,60,13,61,36,15,50,6,31,21,71
7/1/16,41,47,49,30,10,0,29,58,70,49,63,23,46,40,19,45,4,33,31,65
8/1/16,32,47,36,30,0,16,18,57,67,31,65,38,60,40,20,46,4,35,43,66
9/1/16,31,39,34,29,0,17,19,77,66,29,68,30,56,50,8,41,8,38,37,72
10/1/16,38,63,35,32,20,0,12,65,62,36,69,32,35,43,8,43,7,33,29,70
11/1/16,40,77,34,28,30,33,25,62,59,28,66,38,57,36,24,41,7,36,31,73
12/1/16,37,54,25,21,20,17,12,44,47,29,54,24,21,33,24,36,8,29,27,53
1/1/17,26,64,29,31,9,16,29,67,68,46,65,28,32,45,19,46,7,55,35,86
2/1/17,46,59,33,31,10,16,18,83,67,43,62,27,25,51,16,42,8,45,44,84
3/1/17,32,57,34,32,26,29,16,77,77,51,67,19,64,41,28,46,9,37,49,84
4/1/17,27,50,20,30,10,33,6,67,67,35,60,27,56,33,12,41,9,37,6,81
5/1/17,33,47,20,36,0,0,18,58,68,52,61,26,50,34,16,38,11,38,21,79
6/1/17,37,46,36,30,0,17,6,57,68,44,66,16,42,29,12,41,11,38,28,78
7/1/17,38,50,41,28,29,0,23,62,71,38,70,28,57,56,26,45,12,43,50,73
8/1/17,24,50,28,30,19,0,17,67,62,43,66,20,46,46,15,37,8,46,56,80
9/1/17,28,50,29,31,0,48,35,62,64,48,79,31,56,57,15,38,8,49,50,83
10/1/17,31,67,27,33,19,31,6,63,58,35,67,32,63,61,22,38,8,50,36,82
11/1/17,34,60,29,28,28,0,34,50,55,34,67,38,42,47,11,37,7,50,32,78
12/1/17,27,92,26,23,0,16,12,51,42,22,64,18,52,34,4,31,7,51,29,64
1/1/18,31,94,32,33,9,0,27,67,65,40,71,21,39,48,14,40,7,100,35,91
2/1/18,46,71,34,35,19,0,6,78,63,47,70,26,52,42,19,40,8,60,47,83
3/1/18,37,58,25,30,0,0,22,61,64,69,70,21,56,35,21,39,10,53,30,83
4/1/18,41,68,15,32,19,15,28,60,67,45,66,17,60,32,11,34,10,61,20,89
5/1/18,30,90,20,30,0,0,11,68,63,52,62,28,59,33,35,34,18,71,14,83
6/1/18,44,62,28,26,0,56,5,59,61,41,66,29,53,36,20,37,11,100,33,80
7/1/18,33,60,47,27,24,13,0,68,59,42,77,32,63,53,19,37,8,75,43,77
8/1/18,28,52,35,25,8,39,19,70,57,41,75,26,58,59,22,39,14,52,50,74
9/1/18,30,52,35,26,24,27,20,64,56,36,65,44,53,55,10,33,7,47,58,75
10/1/18,37,51,32,25,24,0,20,58,55,44,70,41,58,63,19,36,9,39,48,70
11/1/18,35,53,32,23,8,14,21,54,55,50,72,36,42,44,3,39,14,36,42,69
12/1/18,26,48,23,17,0,14,21,46,38,36,69,14,42,38,24,31,10,28,29,58
1/1/19,25,58,31,27,0,25,23,61,57,52,85,35,42,47,46,39,15,46,48,83
2/1/19,38,59,30,26,17,27,25,72,59,49,76,20,48,50,42,44,10,40,53,79
3/1/19,24,56,28,26,0,25,19,70,59,53,78,29,48,48,12,40,14,35,45,80
4/1/19,28,60,20,29,8,14,26,66,51,50,73,16,59,38,23,34,17,32,17,81
5/1/19,38,54,19,26,15,25,9,75,58,45,69,14,100,44,15,34,15,35,24,77
6/1/19,37,53,28,26,15,0,27,67,58,54,71,14,53,33,17,40,18,37,29,80
7/1/19,35,62,44,23,14,11,30,80,57,56,78,22,52,61,16,43,14,33,54,73
8/1/19,40,64,37,22,14,35,17,74,52,43,81,25,64,61,17,32,14,31,48,78
9/1/19,36,59,39,26,28,11,21,85,65,36,83,43,56,66,8,35,11,32,49,81
10/1/19,34,61,30,26,14,11,30,70,53,46,81,24,48,82,16,37,8,33,52,85
11/1/19,36,57,35,23,21,23,17,75,46,43,78,34,49,56,25,35,11,32,44,76
12/1/19,22,52,24,19,0,0,13,50,34,22,77,20,63,48,6,30,10,29,21,72
1/1/20,44,73,31,24,19,21,20,83,55,37,82,35,52,47,18,40,11,44,44,89
2/1/20,32,82,41,26,0,34,29,84,57,49,85,39,41,69,30,45,12,32,59,73
3/1/20,38,95,34,18,0,22,28,81,41,49,100,19,53,56,10,43,6,14,51,41
4/1/20,26,100,26,10,15,36,0,89,31,52,96,33,53,28,0,44,14,7,40,29
5/1/20,17,79,31,11,7,22,20,92,39,53,81,21,54,41,3,40,21,10,40,26
6/1/20,22,66,21,14,7,11,12,100,44,39,77,12,59,35,13,38,14,15,76,26
7/1/20,28,60,20,13,19,32,20,93,41,49,85,17,73,26,18,37,14,15,72,31
8/1/20,22,66,28,12,6,10,14,67,38,48,80,17,63,34,5,40,12,13,75,27
9/1/20,20,63,72,13,11,18,39,74,45,36,79,22,59,48,13,50,11,15,100,28
10/1/20,19,67,100,10,0,24,21,71,42,46,82,51,67,70,23,46,8,15,91,24
11/1/20,16,66,68,10,11,37,42,70,41,41,79,37,64,75,31,43,12,20,96,24
12/1/20,17,64,42,9,29,29,43,66,36,32,80,44,60,76,14,49,8,21,87,22
