date,applicant,arrival,benefit,control,border,business,citizenship,compensation,consulate,contract,customs,deportation,diaspora,discriminate,doctor,earning,economy,embassy,emigrant,emigrate,emigration,employer,employment,foreigner,GDP,hospital,hiring,illegal,immigrant,immigrate,immigration,income,inflation,internship,job,labor,layoff,legalization,medical school,medicine,migrant,migrate,migration,minimum,nationality,naturalization,nurse,nursing school,passport,payroll,pension,quota,recession,recruitment,refugee,remuneration,required documents,salary,tax,tourist,unauthorized,undocumented,unemployment,union,unskilled,vacancy,visa,waiver,wage,welfare
2010-11-01,43,5,16,73,41,82,33,80,12,67,51,49,0,0,18,70,46,54,76,0,92,49,63,7,23,58,42,43,52,26,53,70,12,6,77,43,0,14,10,48,81,90,98,56,22,30,62,13,22,27,92,75,34,67,5,0,38,29,23,56,18,0,32,60,0,93,59,70,45,52
2010-12-01,8,17,19,70,32,61,18,80,25,70,57,0,0,0,18,11,30,50,0,0,100,37,74,24,25,58,27,43,28,0,52,41,10,23,63,60,100,0,11,43,44,14,50,50,23,0,51,14,16,38,71,32,37,28,0,35,0,33,27,52,38,0,23,56,0,44,56,28,45,21
2011-01-01,34,14,28,72,39,82,54,75,37,75,60,79,10,19,28,24,30,63,0,100,19,32,74,12,54,68,52,69,32,42,59,60,16,30,93,57,19,11,90,59,16,41,54,45,22,60,85,20,32,43,90,96,14,73,4,38,0,34,29,100,28,0,58,62,0,79,72,42,52,42
2011-02-01,44,21,34,68,46,77,48,79,57,74,56,60,30,0,26,12,34,66,31,0,38,51,70,19,25,68,46,47,32,11,66,53,13,27,87,62,0,18,46,62,25,42,60,58,21,49,92,38,27,36,88,37,14,71,9,52,16,33,29,87,7,0,55,64,0,67,75,100,49,32
2011-03-01,31,18,27,74,54,77,52,51,63,67,53,88,22,17,23,50,34,71,0,0,50,48,69,17,44,60,56,46,43,28,42,57,13,36,92,47,17,5,40,52,22,33,37,44,17,43,69,41,27,48,81,65,31,65,4,12,14,35,26,81,19,72,51,58,29,57,62,57,36,43
2011-04-01,37,22,28,52,36,51,47,47,83,76,41,0,10,19,31,24,14,64,0,99,0,43,55,13,17,62,49,17,39,10,62,49,7,29,89,42,0,6,45,45,24,67,27,46,14,24,60,17,26,23,88,42,17,75,0,13,0,36,22,82,21,0,32,64,0,80,66,59,50,29
2011-05-01,55,13,19,52,34,56,37,45,55,58,32,0,9,17,26,55,13,58,0,0,34,52,62,13,14,64,54,41,60,9,49,36,7,23,87,47,34,5,63,46,30,57,42,57,28,33,53,25,29,18,95,66,19,63,2,35,42,39,22,75,6,0,26,68,0,58,65,25,69,46
2011-06-01,46,16,26,66,44,80,64,70,28,66,53,33,8,32,29,14,46,52,0,42,16,54,62,16,36,64,53,33,40,0,55,41,9,13,84,49,0,0,35,59,7,22,70,49,15,10,54,17,28,22,70,51,29,67,2,54,0,40,21,63,18,67,37,51,0,72,59,53,60,47
2011-07-01,50,25,22,70,40,76,59,91,42,56,50,15,11,0,27,24,44,55,0,0,0,47,71,16,50,58,51,52,44,31,56,52,10,17,84,60,14,9,43,51,43,59,54,54,22,9,54,19,27,30,54,32,16,66,6,29,46,38,21,65,16,0,51,60,25,57,59,29,50,58
2011-08-01,42,25,27,64,56,76,69,76,34,69,58,0,7,14,28,18,38,52,0,0,27,25,69,20,49,61,50,37,35,8,51,48,11,13,76,44,0,4,63,58,24,68,49,43,20,9,80,44,29,41,72,31,30,61,3,38,11,37,20,74,10,0,35,57,24,60,59,41,48,54
2011-09-01,31,18,30,68,48,80,43,66,32,77,59,45,7,14,26,27,33,60,0,0,14,57,69,17,53,58,42,55,34,0,49,56,15,13,76,50,0,13,56,59,19,67,44,49,29,27,59,27,28,35,63,46,37,64,5,20,12,33,26,67,38,0,49,60,0,51,57,45,55,56
2011-10-01,36,21,30,58,55,73,38,48,31,69,56,29,22,14,25,33,29,52,23,0,28,40,75,21,22,56,43,46,37,15,46,47,10,16,74,46,0,0,52,55,24,58,37,47,29,36,57,11,23,25,71,45,15,54,5,29,11,32,24,63,21,0,35,62,24,47,63,42,46,57
2011-11-01,33,22,30,60,46,77,41,57,25,66,69,45,100,0,29,31,34,57,0,0,42,41,64,15,43,62,45,42,42,16,43,54,10,18,69,44,14,13,78,55,31,35,40,45,24,0,51,27,30,30,69,46,29,59,2,29,0,31,23,59,5,0,38,56,25,51,59,48,39,44
2011-12-01,17,19,22,52,49,55,41,58,35,52,49,0,15,28,21,27,22,41,69,0,14,39,50,16,40,53,31,36,38,8,41,33,9,9,55,37,0,0,43,51,0,27,25,45,26,9,45,19,24,33,57,9,16,48,0,0,12,24,20,39,5,60,29,54,0,31,47,32,36,36
2012-01-01,47,23,28,58,50,73,46,56,49,80,55,13,26,13,27,29,30,62,20,0,37,38,73,15,63,63,53,47,52,41,52,53,11,19,79,48,0,4,57,59,22,45,32,53,24,8,55,13,37,22,76,80,28,62,3,26,20,39,31,71,19,0,29,67,43,40,64,39,44,40
2012-02-01,38,18,32,66,58,74,45,67,26,79,54,0,7,39,22,36,37,56,0,70,13,59,73,18,61,66,52,57,29,14,54,59,13,32,81,48,26,16,40,60,28,68,53,49,27,25,71,31,30,44,68,42,22,76,4,18,11,38,30,69,10,0,48,63,0,50,65,53,48,61
2012-03-01,47,24,33,60,68,74,45,47,73,74,40,38,6,24,23,49,33,58,20,32,24,49,79,19,34,54,52,47,39,13,46,54,8,36,87,43,0,7,40,55,16,67,50,50,26,8,60,20,36,44,81,58,27,73,1,25,20,40,29,74,27,52,36,64,0,57,58,66,55,41
2012-04-01,42,15,29,48,32,48,34,41,61,62,48,14,4,14,23,20,18,59,44,0,0,30,61,22,24,61,57,28,31,23,65,46,4,38,85,41,27,4,44,49,18,34,36,49,17,26,51,20,34,22,55,44,18,58,3,0,0,44,26,54,20,0,13,71,0,61,60,58,43,33
2012-05-01,44,24,25,51,39,56,34,46,56,73,41,65,13,13,30,29,18,56,0,33,12,72,69,25,19,59,63,30,45,14,57,37,6,18,84,38,37,0,43,46,16,31,23,60,33,32,59,18,35,26,59,40,14,66,3,9,20,50,21,54,23,0,23,65,0,77,62,65,100,31
2012-06-01,38,17,33,65,49,80,75,55,27,70,49,0,12,24,29,41,43,52,39,0,35,49,69,23,34,57,59,42,33,20,56,53,5,15,82,45,47,22,57,57,52,46,51,62,27,8,61,16,29,30,59,68,18,63,5,16,0,42,24,56,13,0,27,77,41,63,55,47,69,35
2012-07-01,27,17,40,72,59,78,72,73,39,73,53,0,3,34,28,26,53,46,0,0,33,48,79,16,46,56,60,59,38,19,58,59,12,14,81,50,44,17,37,67,29,40,59,57,22,7,55,25,25,39,61,43,21,76,1,46,9,46,24,67,25,0,54,61,0,64,52,48,49,68
2012-08-01,22,18,36,64,56,70,50,59,31,68,43,36,12,57,29,19,33,47,18,30,22,62,66,18,49,58,59,48,27,19,49,48,10,10,75,49,0,3,42,55,25,41,34,55,25,29,61,38,28,37,72,61,10,62,4,23,28,39,22,65,9,96,35,66,0,76,62,46,47,54
2012-09-01,36,15,37,73,59,73,46,57,62,80,52,12,9,23,33,41,33,43,0,0,67,59,78,15,59,64,56,51,33,6,51,68,10,17,80,51,0,10,40,61,25,59,49,51,21,22,53,15,29,48,62,40,21,61,0,23,18,39,28,63,43,48,48,57,20,87,59,51,52,62
2012-10-01,42,27,28,56,55,66,38,65,32,73,59,22,11,11,30,25,30,47,0,0,31,49,71,17,31,59,49,54,31,12,59,47,7,22,72,41,10,16,53,48,28,64,41,62,25,14,52,11,27,32,63,44,18,59,4,22,17,36,29,59,4,45,38,58,0,74,57,53,43,58
2012-11-01,44,30,28,57,57,68,37,54,41,68,49,12,14,22,29,26,41,43,18,0,22,50,51,20,64,60,48,39,31,6,52,48,14,31,70,40,11,10,36,55,0,49,22,54,15,21,49,7,27,26,67,28,14,57,0,15,27,37,35,58,25,47,35,63,38,75,58,45,51,31
2012-12-01,25,24,23,47,35,48,43,44,27,65,39,35,11,0,24,16,29,31,18,29,0,34,43,21,50,48,35,31,26,6,42,38,7,13,51,33,11,20,36,54,19,24,16,47,26,21,47,6,22,32,38,35,28,36,5,30,27,32,29,42,12,0,30,60,0,48,44,39,39,23
2013-01-01,63,25,35,59,51,74,48,71,44,80,42,41,10,29,30,29,39,50,16,0,0,53,67,21,51,61,67,37,44,22,56,57,9,29,87,48,10,9,34,56,21,57,44,67,16,12,62,21,35,41,72,78,20,60,3,20,24,40,42,64,7,0,30,64,34,89,62,49,57,40
2013-02-01,48,29,35,60,60,70,42,57,43,79,49,0,13,0,26,20,33,48,0,0,0,68,71,21,53,62,58,56,46,17,62,56,10,36,84,44,10,9,56,58,9,31,53,59,20,46,54,33,30,49,75,52,21,65,3,21,17,42,35,61,0,0,41,63,18,78,68,55,45,43
2013-03-01,42,34,41,62,59,65,35,65,35,76,42,20,7,19,29,18,29,42,0,51,9,42,61,8,33,54,62,39,36,21,49,63,10,35,86,39,19,3,56,51,25,31,39,51,18,30,63,24,29,44,62,42,17,60,2,39,23,41,31,62,7,0,27,74,17,55,62,58,46,35
2013-04-01,47,33,29,47,41,54,27,55,42,69,47,10,3,20,32,36,20,46,16,26,10,68,66,19,22,59,75,27,30,5,57,53,7,38,94,45,0,18,39,51,43,54,36,53,25,6,49,18,33,23,60,50,7,60,4,13,8,48,31,51,33,84,15,69,17,68,63,48,48,21
2013-05-01,39,32,29,52,46,50,19,50,40,58,41,39,15,28,32,26,12,49,0,0,9,54,58,15,31,56,71,36,44,31,55,37,7,32,91,38,28,0,41,50,33,62,34,51,23,12,49,14,30,29,56,54,5,70,0,32,31,48,22,50,18,0,12,61,0,68,66,47,50,29
2013-06-01,46,27,34,62,61,80,46,76,32,87,61,0,5,46,30,29,49,38,0,48,18,59,70,21,35,60,83,39,32,15,59,51,6,26,92,44,18,3,42,60,36,88,48,52,23,46,55,18,23,23,53,81,18,79,1,31,30,53,23,57,21,39,24,72,32,88,65,44,45,50
2013-07-01,31,27,44,68,52,80,63,61,38,75,73,71,15,17,32,23,41,43,14,0,25,60,85,17,37,67,79,43,37,23,64,58,8,19,88,44,0,8,35,64,29,82,51,60,28,38,70,24,25,40,54,35,12,70,2,46,21,47,27,68,10,72,49,64,44,78,66,43,53,58
2013-08-01,27,29,37,63,61,69,49,67,38,73,64,35,13,17,35,27,31,37,41,22,25,56,64,26,37,58,66,42,20,14,51,49,6,65,74,45,17,8,40,58,26,49,58,57,24,32,55,8,25,41,51,62,3,66,9,23,27,42,26,58,10,0,30,59,0,71,63,39,44,57
2013-09-01,40,27,41,66,64,73,43,63,32,93,61,27,20,26,38,18,33,42,14,23,42,66,60,16,43,64,71,49,31,19,53,56,9,32,82,45,8,10,52,60,30,54,45,62,20,16,52,16,28,32,59,35,16,64,5,6,28,41,29,59,32,0,50,60,44,60,59,62,64,38
2013-10-01,32,33,34,59,68,69,31,58,44,71,66,9,15,25,41,23,28,39,0,0,33,55,67,25,37,56,64,42,23,19,57,55,9,100,75,38,25,13,39,56,18,54,74,52,26,22,51,12,26,31,57,22,14,55,4,29,27,44,27,61,10,0,32,62,0,59,58,60,55,51
2013-11-01,34,32,41,54,60,65,34,55,29,71,69,0,16,9,40,21,33,37,0,0,18,62,60,20,47,60,59,34,35,10,49,46,10,75,68,41,9,8,47,57,16,54,77,63,23,17,58,2,25,30,64,49,5,53,9,24,7,39,31,50,27,38,23,62,0,66,64,57,42,35
2013-12-01,22,30,36,53,57,54,38,47,29,67,43,0,12,27,35,36,26,33,0,0,26,38,41,16,40,48,43,31,28,20,45,43,5,41,53,34,18,11,37,54,16,59,49,51,26,23,47,7,24,27,55,23,8,46,2,24,22,34,28,43,20,76,25,61,0,53,57,50,36,20
2014-01-01,55,38,32,60,57,73,48,75,40,90,55,34,13,16,35,40,32,43,40,22,16,63,65,18,49,64,78,48,30,31,72,54,13,43,88,44,0,47,55,59,18,51,76,78,24,10,70,15,36,37,77,39,12,73,2,6,46,46,33,62,30,34,33,60,0,62,79,60,82,40
2014-02-01,52,27,37,64,63,77,47,67,55,84,55,46,7,35,32,39,38,49,0,0,9,66,63,28,73,64,74,60,26,10,63,67,12,49,86,45,17,38,48,57,27,44,47,70,19,62,61,15,33,35,70,51,16,70,7,30,71,47,38,66,23,37,42,60,15,75,73,67,64,41
2014-03-01,48,27,36,59,79,75,79,70,42,85,60,56,8,0,32,25,32,46,12,0,30,77,66,23,40,59,77,45,38,34,58,68,11,77,90,36,30,23,50,57,27,49,40,64,28,34,59,12,25,38,74,66,10,78,5,52,31,50,35,65,17,65,44,62,0,70,70,37,54,38
2014-04-01,71,25,30,51,46,55,33,43,55,76,34,18,4,17,36,14,14,46,0,23,0,55,62,28,19,62,81,32,37,23,57,55,6,64,92,46,8,8,56,55,30,45,29,58,28,22,47,8,28,25,60,46,8,66,5,58,14,48,30,67,13,36,9,69,0,80,100,66,60,27
2014-05-01,63,27,28,52,48,56,42,66,47,80,45,26,11,33,42,28,18,42,0,0,24,70,64,21,37,61,91,41,57,14,61,39,7,90,95,34,0,5,38,61,11,55,32,64,33,63,59,12,28,23,84,53,12,69,2,11,13,60,29,58,25,35,19,71,29,92,76,60,57,36
2014-06-01,39,23,36,62,65,80,68,46,41,88,51,17,8,8,40,31,42,40,0,22,57,54,65,20,29,64,93,100,44,23,55,46,9,48,92,39,0,7,50,61,25,50,44,55,37,16,70,21,28,32,55,78,14,70,1,28,20,56,25,56,15,35,18,68,0,84,72,49,46,44
2014-07-01,46,19,41,61,70,75,57,69,31,84,75,25,10,16,39,32,36,37,0,21,31,57,67,27,37,63,82,95,26,22,51,60,10,28,83,44,31,10,43,61,20,41,69,55,32,30,56,14,22,24,53,58,10,65,7,16,45,50,27,66,29,100,31,67,14,84,62,57,48,47
2014-08-01,49,24,40,61,72,71,53,59,33,77,80,0,8,7,38,32,28,34,0,20,15,68,55,20,47,65,80,66,39,33,43,58,11,30,81,43,22,16,42,55,32,58,50,65,27,38,55,8,23,35,64,40,16,64,9,10,24,48,28,66,25,0,40,54,13,68,68,58,45,38
2014-09-01,59,30,42,65,69,74,51,62,41,96,71,16,10,7,39,24,28,39,0,20,22,63,62,19,46,66,78,57,39,12,49,62,11,30,79,41,22,14,44,62,39,62,42,58,31,38,51,14,28,35,56,29,8,63,3,36,18,45,33,62,39,0,45,65,26,63,70,53,54,36
2014-10-01,42,26,42,61,85,67,53,73,34,87,59,38,19,15,41,20,24,36,24,19,29,61,57,20,33,63,68,54,26,20,45,57,10,32,72,39,0,9,44,54,25,42,46,63,31,23,47,9,27,40,53,23,13,62,4,35,29,44,30,58,30,31,30,64,13,71,63,42,45,34
2014-11-01,43,26,43,56,66,69,48,50,46,95,60,24,10,15,37,38,30,30,0,0,22,59,55,22,42,59,73,48,32,29,47,53,9,55,72,37,7,7,28,58,23,66,48,51,31,10,55,14,26,28,56,48,11,58,3,31,43,43,32,59,14,32,37,59,0,59,65,64,51,43
2014-12-01,30,38,34,50,64,51,28,37,26,69,43,40,14,8,32,26,24,29,12,0,0,37,39,18,34,47,48,41,30,17,36,40,8,31,48,30,0,5,28,53,23,31,47,52,31,14,39,5,19,28,53,31,4,39,1,15,6,32,27,50,11,32,23,65,0,36,50,20,41,21
2015-01-01,66,52,38,52,56,68,54,65,44,86,46,21,18,34,33,41,31,33,22,36,20,49,63,24,54,59,86,48,29,26,45,55,11,29,79,39,7,17,49,60,27,58,36,65,32,13,54,19,33,36,63,54,15,60,5,19,39,46,34,62,18,29,27,67,24,84,64,43,70,28
2015-02-01,63,30,35,58,74,72,41,70,44,91,43,39,23,15,33,25,36,38,0,20,29,64,76,24,51,68,81,39,29,8,48,63,14,34,85,44,7,18,27,62,29,35,26,67,28,42,56,7,33,34,66,64,18,63,7,15,30,47,40,64,30,0,40,62,0,73,71,52,57,38
2015-03-01,65,35,42,62,76,72,50,72,40,82,41,35,12,7,31,31,27,39,11,71,33,65,67,21,39,64,86,41,33,4,48,70,11,48,86,41,7,25,35,65,32,50,56,71,26,30,47,9,34,40,62,38,15,69,5,23,27,55,38,78,18,57,32,64,12,57,68,54,72,50
2015-04-01,84,29,31,49,45,56,39,64,35,68,47,51,7,0,38,24,17,37,34,0,0,53,57,25,37,65,91,33,28,27,42,58,6,51,85,43,21,9,52,60,15,52,30,66,22,13,47,10,30,27,72,45,9,57,2,24,23,56,34,70,18,0,18,72,12,80,71,51,65,33
2015-05-01,55,28,30,54,54,54,42,52,37,76,37,57,2,27,34,33,16,36,22,18,13,56,60,29,40,64,92,30,38,22,43,40,4,49,85,39,0,14,43,58,32,54,34,63,31,4,55,13,29,21,66,60,2,56,8,32,16,51,27,54,15,86,11,69,12,82,68,64,56,29
2015-06-01,64,29,35,59,77,76,56,52,22,78,55,47,8,6,38,33,39,32,21,0,44,66,60,27,24,64,94,39,25,21,39,50,8,35,85,37,6,18,51,65,28,40,45,56,24,29,50,10,29,30,67,41,9,62,4,26,41,51,28,59,19,0,25,73,33,90,66,37,57,48
2015-07-01,36,29,39,62,79,72,53,62,22,75,53,24,6,53,37,24,47,32,19,31,29,70,54,26,36,64,85,46,24,13,44,59,9,26,76,39,23,4,32,66,20,34,33,61,32,15,48,12,29,30,59,37,13,58,6,28,57,59,29,66,11,0,23,64,0,71,62,49,52,49
2015-08-01,34,30,35,61,89,70,56,65,17,81,92,45,13,37,41,26,35,31,20,16,6,60,55,24,49,65,82,58,32,17,41,58,10,31,75,44,0,24,33,69,40,52,47,62,31,35,43,11,29,30,60,33,16,68,7,17,15,57,30,69,32,26,32,64,0,59,62,44,48,54
2015-09-01,43,30,43,63,81,71,59,84,21,80,76,45,10,12,41,35,30,36,20,33,18,61,60,33,46,75,87,51,31,17,46,63,10,18,73,42,12,23,44,71,80,42,55,62,27,35,46,12,26,35,68,49,28,65,100,34,25,55,32,66,28,26,47,54,11,65,68,53,57,38
2015-10-01,43,26,41,59,82,64,44,60,33,72,60,25,14,18,43,36,27,32,39,48,18,58,55,28,41,64,76,43,29,17,40,55,10,44,69,37,12,20,39,65,29,63,40,59,25,11,43,10,28,25,69,42,13,63,11,20,19,55,30,69,16,0,22,57,0,69,69,60,51,44
2015-11-01,33,26,46,59,68,65,52,57,34,71,57,39,13,12,38,31,31,30,50,98,30,57,47,28,62,63,72,42,26,24,34,54,9,44,64,36,12,15,36,63,35,53,37,57,39,24,45,10,26,29,83,43,14,51,17,17,55,72,31,68,21,52,25,61,11,49,63,40,42,45
2015-12-01,34,35,32,51,66,51,38,39,29,64,45,13,7,0,37,36,20,25,31,0,13,29,36,22,48,55,50,34,22,14,34,50,8,24,50,32,13,20,29,54,22,46,36,50,32,20,34,6,22,29,75,43,11,41,11,9,57,49,27,56,31,0,18,63,0,45,56,49,34,35
2016-01-01,49,38,36,56,70,73,75,76,30,81,42,19,13,31,40,33,32,32,30,16,12,66,58,26,51,73,95,35,33,24,50,64,14,35,81,38,18,17,39,65,53,49,45,64,32,16,54,10,36,33,99,37,19,61,5,17,30,67,37,81,25,0,35,66,32,68,71,55,56,51
2016-02-01,76,27,40,65,85,73,59,81,34,81,49,26,6,44,40,23,31,33,20,33,50,71,58,27,50,71,87,49,28,7,43,65,12,31,82,43,19,21,33,63,35,61,47,70,34,36,55,8,30,37,71,54,22,71,8,21,25,72,38,85,28,80,38,66,11,62,74,47,50,42
2016-03-01,61,30,41,59,79,69,60,71,28,92,43,50,9,12,43,34,29,32,10,0,12,58,59,28,49,71,84,40,21,10,37,64,11,51,78,40,12,22,36,63,16,51,40,66,26,19,45,6,28,41,80,55,22,62,10,12,24,56,37,90,20,25,41,68,10,67,77,50,48,33
2016-04-01,56,29,36,54,58,54,43,73,33,85,36,33,3,25,44,29,18,32,20,0,25,73,53,21,35,69,87,37,31,17,39,58,7,51,80,38,25,17,45,60,38,45,33,66,33,28,46,11,31,24,76,36,2,57,5,21,20,55,37,70,24,27,20,71,22,65,74,76,56,35
2016-05-01,76,23,31,50,48,53,46,67,32,68,42,13,3,25,41,35,21,29,20,0,6,65,58,24,47,67,89,33,28,31,42,45,8,41,76,39,6,9,66,54,29,56,27,59,25,12,50,13,32,28,79,43,9,54,8,34,45,63,29,64,30,0,16,68,11,69,68,64,65,36
2016-06-01,46,25,41,56,95,73,36,71,54,85,47,6,8,30,47,29,37,30,49,32,36,71,57,26,38,71,100,40,25,10,35,47,15,40,76,38,24,6,44,60,13,61,36,73,37,15,50,6,31,33,76,42,11,54,5,12,34,61,27,64,18,76,21,75,0,76,71,59,63,42
2016-07-01,43,26,44,59,87,74,44,55,41,77,52,6,5,71,47,40,49,30,10,0,29,58,52,24,26,73,85,56,31,10,34,57,11,25,70,42,35,13,49,63,23,46,40,64,30,19,45,4,33,37,69,43,10,59,7,28,10,66,31,68,16,0,31,64,0,62,65,56,68,52
2016-08-01,40,30,44,60,90,75,47,51,32,79,48,6,5,31,47,37,36,30,0,16,18,57,55,20,44,74,78,68,29,14,40,60,10,19,67,45,6,15,31,65,38,60,40,65,31,20,46,4,35,32,74,30,23,56,9,38,20,58,32,76,32,26,43,63,32,57,66,49,59,59
2016-09-01,41,32,42,62,95,72,72,64,31,82,50,59,10,38,39,32,34,29,0,17,19,77,58,26,40,75,73,73,23,17,39,65,11,23,66,49,19,27,29,68,30,56,50,70,37,8,41,8,38,30,71,46,21,46,10,34,20,54,32,77,33,0,37,60,44,52,72,66,64,52
2016-10-01,35,33,39,58,84,71,36,50,38,74,51,19,10,37,63,22,35,32,20,0,12,65,51,20,43,70,66,73,23,10,37,60,9,30,62,44,30,37,36,69,32,35,43,71,26,8,43,7,33,39,78,35,19,48,10,21,30,52,31,72,21,26,29,61,32,48,70,37,54,43
2016-11-01,30,41,44,62,97,70,43,71,40,75,55,26,10,37,77,24,34,28,30,33,25,62,40,17,75,69,66,56,39,21,45,71,12,33,59,39,12,19,28,66,38,57,36,61,31,24,41,7,36,34,80,40,6,46,10,38,35,51,35,73,19,26,31,63,22,46,73,52,47,55
2016-12-01,27,48,31,49,74,49,32,51,37,49,34,20,3,44,54,27,25,21,20,17,12,44,35,19,59,60,46,36,18,7,32,52,11,21,47,33,19,13,29,54,24,21,33,60,33,24,36,8,29,30,64,26,10,35,6,26,41,44,29,57,35,27,27,66,0,34,53,40,45,32
2017-01-01,87,58,36,61,77,76,51,75,26,79,52,37,20,12,64,35,29,31,9,16,29,67,58,22,52,71,79,46,39,29,36,69,10,38,68,39,12,11,46,65,28,32,45,73,40,19,46,7,55,38,87,54,16,59,16,36,24,66,46,79,24,50,35,67,0,54,86,51,68,49
2017-02-01,64,100,44,61,92,73,61,91,46,86,38,45,13,25,59,32,33,31,10,16,18,83,64,21,57,73,74,64,37,10,48,74,13,31,67,39,6,23,43,62,27,25,51,82,33,16,42,8,45,36,87,43,18,60,10,29,40,57,46,78,25,0,44,68,21,49,84,62,56,41
2017-03-01,84,48,50,61,99,77,58,82,32,81,47,51,8,16,57,30,34,32,26,29,16,77,62,22,44,75,77,58,24,21,44,79,8,48,77,47,21,22,51,67,19,64,41,76,32,28,46,9,37,38,82,43,19,58,6,30,53,60,45,81,28,69,49,77,28,57,84,48,61,59
2017-04-01,62,44,37,49,71,55,52,57,27,78,28,6,5,31,50,33,20,30,10,33,6,67,45,27,34,72,74,36,25,3,43,55,11,40,67,44,12,7,35,60,27,56,33,72,35,12,41,9,37,27,77,29,12,58,12,25,30,62,39,84,28,52,6,88,0,47,81,51,50,37
2017-05-01,48,48,43,49,59,55,45,61,33,72,31,19,3,24,47,21,20,36,0,0,18,58,53,27,35,75,83,40,20,24,42,48,8,38,68,47,6,4,52,61,26,50,34,73,40,16,38,11,38,32,78,49,13,52,8,25,20,66,38,66,25,77,21,77,0,57,79,49,61,40
2017-06-01,50,37,48,58,91,77,50,58,37,80,36,7,7,32,46,27,36,30,0,17,6,57,51,38,31,77,83,36,26,24,32,52,12,48,68,34,19,2,44,66,16,42,29,60,44,12,41,11,38,32,80,56,6,56,10,39,31,63,37,74,21,53,28,77,11,46,78,53,50,42
2017-07-01,41,44,51,61,88,79,46,63,38,92,55,6,5,41,50,34,41,28,29,0,23,62,58,35,37,76,78,62,27,10,39,68,9,27,71,40,6,16,38,70,28,57,56,67,41,26,45,12,43,35,66,75,17,42,11,16,33,66,36,73,26,0,50,67,31,44,73,62,61,42
