"","Country","Indicator","Year","Value"
"203","KGZ","LP.LPI.INFR.XQ","X2010",2.09
"204","KGZ","NY.GDP.MKTP.KD","X2010",4794357795
"205","KGZ","SL.UEM.TOTL.ZS","X2010",8.64
"206","KGZ","SP.POP.TOTL","X2010",5447900
"207","KGZ","TM.VAL.ICTG.ZS.UN","X2010",2.710947973
"208","KGZ","TX.VAL.ICTG.ZS.UN","X2010",0.563101663
"209","RUS","BX.GSR.CCIS.CD","X2010",2623790000
"210","RUS","BX.GSR.CCIS.ZS","X2010",5.337359728
"211","RUS","BX.TRF.PWKR.CD.DT","X2010",5250020000
"212","RUS","EG.ELC.COAL.ZS","X2010",15.98305595
"213","RUS","EG.ELC.HYRO.ZS","X2010",16.06798853
"214","RUS","EG.ELC.LOSS.ZS","X2010",10.12753398
"215","RUS","EG.ELC.NGAS.ZS","X2010",50.23848681
"216","RUS","EG.ELC.NUCL.ZS","X2010",16.44748271
"217","RUS","EG.ELC.PETR.ZS","X2010",0.897100325
"218","RUS","EG.USE.ELEC.KH.PC","X2010",6409.894365
"219","RUS","ER.H2O.FWAG.ZS","X2010",NA
"220","RUS","ER.H2O.FWDM.ZS","X2010",NA
"221","RUS","ER.H2O.FWIN.ZS","X2010",NA
"222","RUS","ER.H2O.FWTL.K3","X2010",NA
"223","RUS","ER.H2O.FWTL.ZS","X2010",NA
"224","RUS","ER.H2O.INTR.K3","X2010",NA
"225","RUS","ER.H2O.INTR.PC","X2010",NA
"226","RUS","IE.PPI.ENGY.CD","X2010",5981920000
"227","RUS","IE.PPI.ICTI.CD","X2010",NA
"228","RUS","IE.PPI.TRAN.CD","X2010",4595900000
"229","RUS","IE.PPI.WATR.CD","X2010",NA
"230","RUS","IE.PPN.ENGY.CD","X2010",5.187e+09
"231","RUS","IE.PPN.TRAN.CD","X2010",4347900000
"232","RUS","IE.PPN.WATR.CD","X2010",NA
"233","RUS","IP.IDS.NRCT","X2010",2737
"234","RUS","IP.IDS.RSCT","X2010",2880
"235","RUS","IP.TMK.NRCT","X2010",54448
"236","RUS","IP.TMK.RSCT","X2010",151735
"237","RUS","IQ.SPI.PIL5","X2010",NA
"238","RUS","IS.AIR.DPRT","X2010",523759
"239","RUS","IS.AIR.GOOD.MT.K1","X2010",3531.583
"240","RUS","IS.AIR.PSGR","X2010",43855539
"241","RUS","IS.RRS.GOOD.MT.K6","X2010",2011308
"242","RUS","IS.RRS.PASG.KM","X2010",138885
"243","RUS","IS.RRS.TOTL.KM","X2010",85292
"244","RUS","IS.SHP.GCNW.XQ","X2010",28.84864948
"245","RUS","IS.SHP.GOOD.TU","X2010",3243368
"246","RUS","IT.CEL.SETS","X2010",237689224
"247","RUS","IT.CEL.SETS.P2","X2010",165.6610167
"248","RUS","IT.MLT.MAIN","X2010",44915829
"249","RUS","IT.MLT.MAIN.P2","X2010",31.30475068
"250","RUS","IT.NET.BBND","X2010",15700000
"251","RUS","IT.NET.BBND.P2","X2010",10.94234698
"252","RUS","IT.NET.SECR","X2010",2442
"253","RUS","IT.NET.SECR.P6","X2010",17.09491841
"254","RUS","IT.NET.USER.ZS","X2010",43
"255","RUS","LP.LPI.INFR.XQ","X2010",2.38
"256","RUS","NY.GDP.MKTP.KD","X2010",1.52492e+12
"257","RUS","SL.UEM.TOTL.ZS","X2010",7.37
"258","RUS","SP.POP.TOTL","X2010",142849468
"259","RUS","TM.VAL.ICTG.ZS.UN","X2010",8.529893349
"260","RUS","TX.VAL.ICTG.ZS.UN","X2010",0.223375761
"261","TJK","BX.GSR.CCIS.CD","X2010",27084639
"262","TJK","BX.GSR.CCIS.ZS","X2010",7.042212008
"263","TJK","BX.TRF.PWKR.CD.DT","X2010",2020504005
"264","TJK","EG.ELC.COAL.ZS","X2010",0
"265","TJK","EG.ELC.HYRO.ZS","X2010",99.78703985
"266","TJK","EG.ELC.LOSS.ZS","X2010",14.17706115
"267","TJK","EG.ELC.NGAS.ZS","X2010",0.212960146
"268","TJK","EG.ELC.NUCL.ZS","X2010",0
"269","TJK","EG.ELC.PETR.ZS","X2010",0
"270","TJK","EG.USE.ELEC.KH.PC","X2010",1893.217536
"271","TJK","ER.H2O.FWAG.ZS","X2010",NA
"272","TJK","ER.H2O.FWDM.ZS","X2010",NA
"273","TJK","ER.H2O.FWIN.ZS","X2010",NA
"274","TJK","ER.H2O.FWTL.K3","X2010",NA
"275","TJK","ER.H2O.FWTL.ZS","X2010",NA
"276","TJK","ER.H2O.INTR.K3","X2010",NA
"277","TJK","ER.H2O.INTR.PC","X2010",NA
"278","TJK","IE.PPI.ENGY.CD","X2010",NA
"279","TJK","IE.PPI.ICTI.CD","X2010",NA
"280","TJK","IE.PPI.TRAN.CD","X2010",NA
"281","TJK","IE.PPI.WATR.CD","X2010",NA
"282","TJK","IE.PPN.ENGY.CD","X2010",NA
"283","TJK","IE.PPN.TRAN.CD","X2010",NA
"284","TJK","IE.PPN.WATR.CD","X2010",NA
"285","TJK","IP.IDS.NRCT","X2010",5
"286","TJK","IP.IDS.RSCT","X2010",NA
"287","TJK","IP.TMK.NRCT","X2010",4102
"288","TJK","IP.TMK.RSCT","X2010",306
"289","TJK","IQ.SPI.PIL5","X2010",NA
"290","TJK","IS.AIR.DPRT","X2010",5709.668916
"291","TJK","IS.AIR.GOOD.MT.K1","X2010",0.983571745
"292","TJK","IS.AIR.PSGR","X2010",616999.4123
"293","TJK","IS.RRS.GOOD.MT.K6","X2010",808.4
"294","TJK","IS.RRS.PASG.KM","X2010",32.8
"295","TJK","IS.RRS.TOTL.KM","X2010",620.7
"296","TJK","IS.SHP.GCNW.XQ","X2010",NA
"297","TJK","IS.SHP.GOOD.TU","X2010",NA
"298","TJK","IT.CEL.SETS","X2010",5940842
"299","TJK","IT.CEL.SETS.P2","X2010",78.92295793
"300","TJK","IT.MLT.MAIN","X2010",367693
"301","TJK","IT.MLT.MAIN.P2","X2010",4.884731688
"302","TJK","IT.NET.BBND","X2010",4700
"303","TJK","IT.NET.BBND.P2","X2010",0.062438608
"304","TJK","IT.NET.SECR","X2010",2
"305","TJK","IT.NET.SECR.P6","X2010",0.265696097
"306","TJK","IT.NET.USER.ZS","X2010",11.55
"307","TJK","LP.LPI.INFR.XQ","X2010",2
"308","TJK","NY.GDP.MKTP.KD","X2010",5642178580
"309","TJK","SL.UEM.TOTL.ZS","X2010",10.85
"310","TJK","SP.POP.TOTL","X2010",7527397
"311","TJK","TM.VAL.ICTG.ZS.UN","X2010",NA
"312","TJK","TX.VAL.ICTG.ZS.UN","X2010",NA
"313","UKR","BX.GSR.CCIS.CD","X2010",7.19e+08
"314","UKR","BX.GSR.CCIS.ZS","X2010",3.92317346
"315","UKR","BX.TRF.PWKR.CD.DT","X2010",6.535e+09
"316","UKR","EG.ELC.COAL.ZS","X2010",36.94367361
"317","UKR","EG.ELC.HYRO.ZS","X2010",6.96506874
"318","UKR","EG.ELC.LOSS.ZS","X2010",11.48929184
"319","UKR","EG.ELC.NGAS.ZS","X2010",8.316033639
"320","UKR","EG.ELC.NUCL.ZS","X2010",47.21333701
"321","UKR","EG.ELC.PETR.ZS","X2010",0.435316796
"322","UKR","EG.USE.ELEC.KH.PC","X2010",3549.844551
"323","UKR","ER.H2O.FWAG.ZS","X2010",NA
"324","UKR","ER.H2O.FWDM.ZS","X2010",NA
"325","UKR","ER.H2O.FWIN.ZS","X2010",NA
"326","UKR","ER.H2O.FWTL.K3","X2010",NA
"327","UKR","ER.H2O.FWTL.ZS","X2010",NA
"328","UKR","ER.H2O.INTR.K3","X2010",NA
"329","UKR","ER.H2O.INTR.PC","X2010",NA
"330","UKR","IE.PPI.ENGY.CD","X2010",88910000
"331","UKR","IE.PPI.ICTI.CD","X2010",NA
"332","UKR","IE.PPI.TRAN.CD","X2010",NA
"333","UKR","IE.PPI.WATR.CD","X2010",NA
"334","UKR","IE.PPN.ENGY.CD","X2010",NA
"335","UKR","IE.PPN.TRAN.CD","X2010",NA
"336","UKR","IE.PPN.WATR.CD","X2010",NA
"337","UKR","IP.IDS.NRCT","X2010",2869
"338","UKR","IP.IDS.RSCT","X2010",2949
"339","UKR","IP.TMK.NRCT","X2010",27641
"340","UKR","IP.TMK.RSCT","X2010",28796
"341","UKR","IQ.SPI.PIL5","X2010",NA
"342","UKR","IS.AIR.DPRT","X2010",66038
"343","UKR","IS.AIR.GOOD.MT.K1","X2010",69.32023886
"344","UKR","IS.AIR.PSGR","X2010",3956053
"345","UKR","IS.RRS.GOOD.MT.K6","X2010",218091
"346","UKR","IS.RRS.PASG.KM","X2010",50248
"347","UKR","IS.RRS.TOTL.KM","X2010",21705
"348","UKR","IS.SHP.GCNW.XQ","X2010",20.39125443
"349","UKR","IS.SHP.GOOD.TU","X2010",654000
"350","UKR","IT.CEL.SETS","X2010",53928830
"351","UKR","IT.CEL.SETS.P2","X2010",117.7678197
"352","UKR","IT.MLT.MAIN","X2010",12941346
"353","UKR","IT.MLT.MAIN.P2","X2010",28.26084122
"354","UKR","IT.NET.BBND","X2010",2955862
"355","UKR","IT.NET.BBND.P2","X2010",6.454904046
"356","UKR","IT.NET.SECR","X2010",567
"357","UKR","IT.NET.SECR.P6","X2010",12.36082059
"358","UKR","IT.NET.USER.ZS","X2010",23.3
"359","UKR","LP.LPI.INFR.XQ","X2010",2.44
"360","UKR","NY.GDP.MKTP.KD","X2010",1.36013e+11
"361","UKR","SL.UEM.TOTL.ZS","X2010",8.1
"362","UKR","SP.POP.TOTL","X2010",45870741
"363","UKR","TM.VAL.ICTG.ZS.UN","X2010",3.193728992
"364","UKR","TX.VAL.ICTG.ZS.UN","X2010",1.070399114
"365","USA","BX.GSR.CCIS.CD","X2010",2.5037e+10
"366","USA","BX.GSR.CCIS.ZS","X2010",4.30155744
"367","USA","BX.TRF.PWKR.CD.DT","X2010",5.93e+09
"368","USA","EG.ELC.COAL.ZS","X2010",45.79760576
"369","USA","EG.ELC.HYRO.ZS","X2010",6.023062386
"370","USA","EG.ELC.LOSS.ZS","X2010",5.993965133
"371","USA","EG.ELC.NGAS.ZS","X2010",23.37584166
"372","USA","EG.ELC.NUCL.ZS","X2010",19.26644609
"373","USA","EG.ELC.PETR.ZS","X2010",1.104317669
"374","USA","EG.USE.ELEC.KH.PC","X2010",13394.90276
"375","USA","ER.H2O.FWAG.ZS","X2010",NA
"376","USA","ER.H2O.FWDM.ZS","X2010",NA
"377","USA","ER.H2O.FWIN.ZS","X2010",NA
"378","USA","ER.H2O.FWTL.K3","X2010",NA
"379","USA","ER.H2O.FWTL.ZS","X2010",NA
"380","USA","ER.H2O.INTR.K3","X2010",NA
"381","USA","ER.H2O.INTR.PC","X2010",NA
"382","USA","IE.PPI.ENGY.CD","X2010",NA
"383","USA","IE.PPI.ICTI.CD","X2010",NA
"384","USA","IE.PPI.TRAN.CD","X2010",NA
"385","USA","IE.PPI.WATR.CD","X2010",NA
"386","USA","IE.PPN.ENGY.CD","X2010",NA
"387","USA","IE.PPN.TRAN.CD","X2010",NA
"388","USA","IE.PPN.WATR.CD","X2010",NA
"389","USA","IP.IDS.NRCT","X2010",12353
"390","USA","IP.IDS.RSCT","X2010",16706
"391","USA","IP.TMK.NRCT","X2010",82316
"392","USA","IP.TMK.RSCT","X2010",295186
"393","USA","IQ.SPI.PIL5","X2010",NA
"394","USA","IS.AIR.DPRT","X2010",10095197
"395","USA","IS.AIR.GOOD.MT.K1","X2010",39353.2561
"396","USA","IS.AIR.PSGR","X2010",720497000
"397","USA","IS.RRS.GOOD.MT.K6","X2010",2491450
"398","USA","IS.RRS.PASG.KM","X2010",31871.67192
"399","USA","IS.RRS.TOTL.KM","X2010",194431
"400","USA","IS.SHP.GCNW.XQ","X2010",76.03097275
"401","USA","IS.SHP.GOOD.TU","X2010",42031000
"402","USA","IT.CEL.SETS","X2010",285118000
"403","USA","IT.CEL.SETS.P2","X2010",92.26777096
"404","USA","IT.MLT.MAIN","X2010",149652000
"405","USA","IT.MLT.MAIN.P2","X2010",48.4292695
"406","USA","IT.NET.BBND","X2010",84522000
"407","USA","IT.NET.BBND.P2","X2010",27.3523823
"408","USA","IT.NET.SECR","X2010",767662
"409","USA","IT.NET.SECR.P6","X2010",2481.715612
"410","USA","IT.NET.USER.ZS","X2010",71.69
"411","USA","LP.LPI.INFR.XQ","X2010",4.15
"412","USA","NY.GDP.MKTP.KD","X2010",1.49921e+13
"413","USA","SL.UEM.TOTL.ZS","X2010",9.63
"414","USA","SP.POP.TOTL","X2010",309327143
"415","USA","TM.VAL.ICTG.ZS.UN","X2010",14.22462076
"416","USA","TX.VAL.ICTG.ZS.UN","X2010",10.55514221
"417","AZE","BX.GSR.CCIS.CD","X2011",74563000
"418","AZE","BX.GSR.CCIS.ZS","X2011",2.450708429
"419","AZE","BX.TRF.PWKR.CD.DT","X2011",1893080000
"420","AZE","EG.ELC.COAL.ZS","X2011",0
"421","AZE","EG.ELC.HYRO.ZS","X2011",13.1861634
"422","AZE","EG.ELC.LOSS.ZS","X2011",19.57721494
"423","AZE","EG.ELC.NGAS.ZS","X2011",85.1483197
"424","AZE","EG.ELC.NUCL.ZS","X2011",0
"425","AZE","EG.ELC.PETR.ZS","X2011",1.665516902
"426","AZE","EG.USE.ELEC.KH.PC","X2011",1705.424633
"427","AZE","ER.H2O.FWAG.ZS","X2011",NA
"428","AZE","ER.H2O.FWDM.ZS","X2011",NA
"429","AZE","ER.H2O.FWIN.ZS","X2011",NA
"430","AZE","ER.H2O.FWTL.K3","X2011",NA
"431","AZE","ER.H2O.FWTL.ZS","X2011",NA
"432","AZE","ER.H2O.INTR.K3","X2011",NA
"433","AZE","ER.H2O.INTR.PC","X2011",NA
"434","AZE","IE.PPI.ENGY.CD","X2011",NA
"435","AZE","IE.PPI.ICTI.CD","X2011",NA
"436","AZE","IE.PPI.TRAN.CD","X2011",NA
"437","AZE","IE.PPI.WATR.CD","X2011",NA
"438","AZE","IE.PPN.ENGY.CD","X2011",NA
"439","AZE","IE.PPN.TRAN.CD","X2011",NA
"440","AZE","IE.PPN.WATR.CD","X2011",NA
"441","AZE","IP.IDS.NRCT","X2011",608
"442","AZE","IP.IDS.RSCT","X2011",27
"443","AZE","IP.TMK.NRCT","X2011",NA
"444","AZE","IP.TMK.RSCT","X2011",NA
"445","AZE","IQ.SPI.PIL5","X2011",NA
"446","AZE","IS.AIR.DPRT","X2011",15082
"447","AZE","IS.AIR.GOOD.MT.K1","X2011",9.5921
"448","AZE","IS.AIR.PSGR","X2011",1348414
"449","AZE","IS.RRS.GOOD.MT.K6","X2011",7845
"450","AZE","IS.RRS.PASG.KM","X2011",660
"451","AZE","IS.RRS.TOTL.KM","X2011",2079.3
"452","AZE","IS.SHP.GCNW.XQ","X2011",NA
"453","AZE","IS.SHP.GOOD.TU","X2011",NA
"454","AZE","IT.CEL.SETS","X2011",10120105
"455","AZE","IT.CEL.SETS.P2","X2011",110.6472854
"456","AZE","IT.MLT.MAIN","X2011",1683876
"457","AZE","IT.MLT.MAIN.P2","X2011",18.41051138
"458","AZE","IT.NET.BBND","X2011",973869
"459","AZE","IT.NET.BBND.P2","X2011",10.64771177
"460","AZE","IT.NET.SECR","X2011",45
"461","AZE","IT.NET.SECR.P6","X2011",4.905657662
"462","AZE","IT.NET.USER.ZS","X2011",50
"463","AZE","LP.LPI.INFR.XQ","X2011",NA
"464","AZE","NY.GDP.MKTP.KD","X2011",52077032844
"465","AZE","SL.UEM.TOTL.ZS","X2011",5.42
"466","AZE","SP.POP.TOTL","X2011",9173082
"467","AZE","TM.VAL.ICTG.ZS.UN","X2011",3.458040033
"468","AZE","TX.VAL.ICTG.ZS.UN","X2011",0.003807888
